word,label
Good,O
catch.,O
NY,B-LOCATION
law,O
should,O
apply,O
throughout,O
the,O
Americas,B-LOCATION
and,O
in,O
Japan.,O
We,O
used,O
UK,O
Europe,B-LOCATION
Singapore,B-LOCATION
on,O
theory,O
counterparties,O
there,O
would,O
be,O
more,O
comfortable,O
with,O
Uk,O
law.,O
I,O
'm,O
not,O
sure,O
which,O
Australians,O
prefer.,O
What,O
do,O
you,O
think,O
of,O
following,O
:,O
16.,O
If,O
are,O
accessing,O
this,O
website,O
from,O
North,B-LOCATION
America,I-LOCATION
",",O
South,B-LOCATION
or,O
Japan,B-LOCATION
terms,O
legal,O
Privacy,O
statement,O
shall,O
governed,O
by,O
laws,O
State,O
New,O
York,O
;,O
if,O
any,O
other,O
location,O
its,O
English,O
Leonardo,B-PERSON
Pacheco,I-PERSON
@ENRON,O
Australia,B-LOCATION
Tana,B-PERSON
",",O
Wow,O
you,O
are,O
really,O
on,O
the,O
ball.,O
Looks,O
like,O
we,O
will,O
have,O
a,O
great,O
party.,O
I,O
email,O
Matthias,B-PERSON
and,O
Karin,B-PERSON
about,O
potatoe,O
recipe,O
Stephen,B-PERSON
Long,I-PERSON
garlic,O
bread,O
recipe.,O
Judy,B-PERSON
Weller,I-PERSON
's,O
phone,O
number,O
is,O
713-524-7567.,O
And,O
Mark,B-PERSON
willing,O
to,O
bring,O
whatever,O
;,O
Ulf,B-PERSON
might,O
want,O
help,O
with,O
pork,O
chops,O
chicken.,O
How,O
plans,O
grill,O
going,O
?,O
We,O
can,O
always,O
ours,O
if,O
know,O
of,O
someone,O
truck,O
could,O
borrow.,O
Peace,O
Beth,B-PERSON
Jones,I-PERSON
wrote,O
:,O
got,O
several,O
responses,O
last,O
night,O
this,O
morning,O
by,O
so,O
am,O
attaching,O
revised,O
list.,O
(See,O
attached,O
file,O
church,O
gourmet.doc,O
),O
Name,O
Type,O
Microsoft,O
Word,O
Document,O
(application,O
/msword,O
Encoding,O
base64,O
Description,O
Mac,O
3.0,O
Download,O
Status,O
Not,O
downloaded,O
message,O
-,O
lcm.vcf,O
I,O
am,O
very,O
pleased,O
to,O
announce,O
that,O
L.D.,B-PERSON
Stephens,I-PERSON
has,O
accepted,O
the,O
position,O
of,O
Account,O
Director,O
in,O
Business,O
and,O
Power,O
Development,O
group,O
Northern,O
Natural,O
Gas,O
Marketing,O
Division.,O
been,O
with,O
Enron,B-PERSON
for,O
18,O
years,O
held,O
many,O
positions,O
from,O
Field,O
Technician,O
O,O
&M,O
Supervisor,O
Regional,O
Team,O
Advisor.,O
Most,O
recently,O
was,O
a,O
Sr.,O
Facility,O
Planner,O
had,O
primary,O
accountability,O
provide,O
planning,O
support,O
commercial,O
activities,O
team.,O
B.S.,O
Industrial,O
Technology,O
Southwest,B-LOCATION
Oklahoma,I-LOCATION
State.,O
He,O
will,O
be,O
located,O
Omaha,B-LOCATION
manage,O
number,O
projects,O
primarily,O
area,O
on,O
system,O
power,O
development,O
ethanol,O
market,O
development.,O
Please,O
join,O
me,O
welcoming,O
our,O
group.,O
Thank,O
You.,O
John,B-PERSON
Dushinske,I-PERSON
State,I-LOCATION
Chris,B-PERSON
:,O
We,O
should,O
chat.,O
Per,O
the,O
ISDA,B-ORG
",",O
ENA,B-ORG
is,O
calc,O
agent,O
and,O
we,O
have,O
already,O
agreed,O
to,O
usual,O
Market,O
Disruption,O
Events,O
fallbacks,O
in,O
ISDA.,O
If,O
you,O
want,O
change,O
agreement,O
then,O
can,O
consider,O
items,O
which,O
Merchant,B-ORG
has,O
included,O
draft.,O
As,O
create,O
a,O
draft,O
send,O
form,O
for,O
review.,O
However,O
I,O
do,O
need,O
explain,O
/verify,O
Floating,O
Price,O
B.,O
And,O
verify,O
rounding,O
convention,O
differs,O
from,O
our,O
