message_id,text,entities,annotation
<11792830.1075859955495.JavaMail.evans@thyme>,"Good catch.  NY law should apply throughout the Americas and in Japan.  We 
used UK law in Europe and Singapore on the theory the counterparties there 
would be more comfortable with Uk law.  I'm not sure which the Australians 
would prefer.  What do you think of the following:

16.  If you are accessing this website from North America, South America or 
Japan, the terms of this legal and Privacy statement shall be governed by the 
laws of the State of New York; if you are accessing this website from any 
other location, its terms shall be governed by English law.



	Leonardo Pacheco@ENRON","[{'word': 'Leonardo Pacheco', 'tag': 'PERSON'}, {'word': 'NY', 'tag': 'LOCATION'}, {'word': 'Americas', 'tag': 'LOCATION'}, {'word': 'Japan', 'tag': 'LOCATION'}, {'word': 'Europe', 'tag': 'LOCATION'}, {'word': 'Singapore', 'tag': 'LOCATION'}, {'word': 'Australia', 'tag': 'LOCATION'}, {'word': 'North America', 'tag': 'LOCATION'}, {'word': 'South America', 'tag': 'LOCATION'}]","[('Leonardo Pacheco', 'PERSON'), ('NY', 'LOCATION'), ('Americas', 'LOCATION'), ('Japan', 'LOCATION'), ('Europe', 'LOCATION'), ('Singapore', 'LOCATION'), ('Australia', 'LOCATION'), ('North America', 'LOCATION'), ('South America', 'LOCATION')]"
<16461482.1075846947944.JavaMail.evans@thyme>,"Tana,
Wow, you are really on the ball.  Looks like we will have a great party. I 
will email
Matthias and Karin about the potatoe recipe and Stephen Long about the garlic 
bread
recipe.  Judy Weller's phone number is 713-524-7567. And Mark and I are 
willing to
bring whatever; Ulf might want help with the pork chops and chicken.  How are 
plans
with the grill going?  We can always bring ours if you know of someone with a 
truck we
could borrow.
Peace,
Beth

Tana Jones wrote:

 I got several responses last night and this morning by email, so I am 
attaching
 a revised list.

 (See attached file: church gourmet.doc)

   
                                 Name: church gourmet.doc
                                 Type: Microsoft Word Document 
(application/msword)
    church gourmet.doc       Encoding: base64
                          Description: Mac Word 3.0
                      Download Status: Not downloaded with message

 - lcm.vcf","[{'word': 'Tana', 'tag': 'PERSON'}, {'word': 'Matthias', 'tag': 'PERSON'}, {'word': 'Karin', 'tag': 'PERSON'}, {'word': 'Stephen Long', 'tag': 'PERSON'}, {'word': 'Judy Weller', 'tag': 'PERSON'}, {'word': 'Mark', 'tag': 'PERSON'}, {'word': 'Ulf', 'tag': 'PERSON'}, {'word': 'Beth', 'tag': 'PERSON'}, {'word': 'Tana Jones', 'tag': 'PERSON'}]","[('Tana', 'PERSON'), ('Matthias', 'PERSON'), ('Karin', 'PERSON'), ('Stephen Long', 'PERSON'), ('Judy Weller', 'PERSON'), ('Mark', 'PERSON'), ('Ulf', 'PERSON'), ('Beth', 'PERSON'), ('Tana Jones', 'PERSON')]"
<27347038.1075842439828.JavaMail.evans@thyme>,"I am very pleased to announce that L.D. Stephens has accepted the position of 
Account Director in the Business and Power Development group of the Northern 
Natural Gas Marketing Division.   L.D. has been with Enron for 18 years and 
has held many positions from Field Technician to Field O&M Supervisor to 
Regional Team Advisor.  Most recently L.D. was a Sr. Facility Planner and had 
primary accountability to provide planning support to the commercial 
activities of the Business and Power Development team.   L.D. has a B.S. in 
Industrial Technology from Southwest Oklahoma State.  He will be located in 
Omaha and will manage a number of projects primarily in the area of on system 
power development and ethanol market development.  

Please join me in welcoming L.D. to our group.

Thank You. 
John Dushinske","[{'word': 'L.D. Stephens', 'tag': 'PERSON'}, {'word': 'Enron', 'tag': 'PERSON'}, {'word': 'John Dushinske', 'tag': 'PERSON'}, {'word': 'Northern Natural Gas Marketing Division', 'tag': 'LOCATION'}, {'word': 'Omaha', 'tag': 'LOCATION'}, {'word': 'Southwest Oklahoma State', 'tag': 'LOCATION'}]","[('L.D. Stephens', 'PERSON'), ('Enron', 'PERSON'), ('John Dushinske', 'PERSON'), ('Northern Natural Gas Marketing Division', 'LOCATION'), ('Omaha', 'LOCATION'), ('Southwest Oklahoma State', 'LOCATION')]"
<22015863.1075844739388.JavaMail.evans@thyme>,"Chris:

We should chat.  Per the ISDA, ENA is the calc agent and we have already 
agreed to usual Market Disruption Events and fallbacks in the ISDA.  If you 
want to change the ISDA agreement, then we can consider the items which 
Merchant has included in the draft.

As calc agent, we should create a draft and send the form to you for review.  
However, I do need you to explain/verify Floating Price B.  And verify 
rounding convention which differs from our standard.

Please call to discuss. 


Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)
713-646-3490 (fax)
sara.shackleton@enron.com



	Chris H Foster","[{'word': 'Chris H Foster', 'tag': 'PERSON'}, {'word': 'Sara Shackleton', 'tag': 'PERSON'}, {'word': '1400 Smith Street, EB 3801a', 'tag': 'LOCATION'}, {'word': 'Houston, Texas  77002', 'tag': 'LOCATION'}, {'word': 'ENA', 'tag': 'ORG'}, {'word': 'ISDA', 'tag': 'ORG'}, {'word': 'Merchant', 'tag': 'ORG'}, {'word': 'Enron North America Corp.', 'tag': 'ORG'}]","[('Chris H Foster', 'PERSON'), ('Sara Shackleton', 'PERSON'), ('1400 Smith Street, EB 3801a', 'LOCATION'), ('Houston, Texas  77002', 'LOCATION'), ('ENA', 'ORG'), ('ISDA', 'ORG'), ('Merchant', 'ORG'), ('Enron North America Corp.', 'ORG')]"
<27358009.1075862249772.JavaMail.evans@thyme>,"I have made additional changes on pages 11-12 on the Northwest adaptations to make LMP work.  I have indicated the kinds of adjustments from the PJM platform necessary to make it work.  I don't think is necessary to take a swing at Mark Mayer of BPA to make our point that LMP will work.  Mark was caught flat footed and unprepared for Dick O'Niell's cheap shot.  Second, the proportion of hydro and the mix of other units is quite different in PJM and NYISO, so the fact that they fit hydro in around the edges is not necessarily proof that it will work in the PNW.  For that reason, I have noted the mix of units (hydro and base load) to show that the unit committment process will be different but you can still produce hourly prices.
 
Steve","[{'word': 'Mark Mayer', 'tag': 'PERSON'}, {'word': 'BPA', 'tag': 'PERSON'}, {'word': ""Dick O'Niell"", 'tag': 'PERSON'}, {'word': 'Steve', 'tag': 'PERSON'}, {'word': 'PJM', 'tag': 'ORG'}, {'word': 'NYISO', 'tag': 'ORG'}, {'word': 'PNW', 'tag': 'ORG'}]","[('Mark Mayer', 'PERSON'), ('BPA', 'PERSON'), (""Dick O'Niell"", 'PERSON'), ('Steve', 'PERSON'), ('PJM', 'ORG'), ('NYISO', 'ORG'), ('PNW', 'ORG')]"
<16106780.1075840819692.JavaMail.evans@thyme>,"Louise:

You requested that I give you a list of things to avoid discussion with ABB.  We've maintained a reasonably open relationship with ABB up to this point, but here are some (fairly obvious) things that we should probably steer clear of:

1.  No discussion about Fronterra;
2.  No specifics about the DeAcero contract, e.g. extension date, CP's, etc; and
3.  No discussion about project credit issues or financing alternatives for the project.

When this ABB contingent was here last (Feb 2001), Dave and Janet essentially indicated that this was an important project to Enron, that we were entirely committed to seeing it through and that if it weren't for the damn CFE, we'd already be done, etc. etc.  I think if we stick to that line, we'll be fine.

If I think of anything else, I'll let you know ASAP.

DTT","[{'word': 'Louise', 'tag': 'PERSON'}, {'word': 'ABB', 'tag': 'PERSON'}, {'word': 'Dave', 'tag': 'PERSON'}, {'word': 'Janet', 'tag': 'PERSON'}, {'word': 'DTT', 'tag': 'PERSON'}, {'word': 'Feb 2001', 'tag': 'DATE'}, {'word': 'Enron', 'tag': 'ORG'}, {'word': 'Fronterra', 'tag': 'ORG'}, {'word': 'DeAcero', 'tag': 'ORG'}, {'word': 'CP', 'tag': 'ORG'}, {'word': 'CFE', 'tag': 'ORG'}]","[('Louise', 'PERSON'), ('ABB', 'PERSON'), ('Dave', 'PERSON'), ('Janet', 'PERSON'), ('DTT', 'PERSON'), ('Feb 2001', 'DATE'), ('Enron', 'ORG'), ('Fronterra', 'ORG'), ('DeAcero', 'ORG'), ('CP', 'ORG'), ('CFE', 'ORG')]"
<3519867.1075857853169.JavaMail.evans@thyme>,"Dear Mr. LARRY CAMPBELL:

Thank you for your order.

You sold 120 shares of BRCD (Brocade Communications Sys I Com) at 169.000000.

ORDER DETAILS:
The tracking number for this order is: B-500-AATD-5965
Order entered at:                      14:18:29 on 11/30/00
Order processing began at:             14:18:30
Order executed at:                     14:37:18 on 11/30/00

ACCOUNT DETAILS:
Time and Date: 14:37:18 on 11/30/00
Your position in BRCD is 0 shares
Your real cash total is $5,685.43

You will receive a printed Datek Online confirmation by postal mail, or by 
electronic delivery if you are subscribed to that service.

Questions regarding this transaction? Contact our Customer Support department 
by e-mailing support@datek.com. Please reference the order tracking number.","[{'word': 'LARRY CAMPBELL', 'tag': 'PERSON'}, {'word': '11/30/00', 'tag': 'DATE'}, {'word': 'BRCD', 'tag': 'ORG'}, {'word': 'Brocade Communications Sys I Com', 'tag': 'ORG'}, {'word': 'Datek Online', 'tag': 'ORG'}]","[('LARRY CAMPBELL', 'PERSON'), ('11/30/00', 'DATE'), ('BRCD', 'ORG'), ('Brocade Communications Sys I Com', 'ORG'), ('Datek Online', 'ORG')]"
<31603176.1075855142203.JavaMail.evans@thyme>,"DON BAUGHMAN JR,
 
The PEP system closes on Friday, May 25, 2001. 
 
Our records indicate that you have not selected reviewers.  Please suggest a list of reviewers as quickly as possible - the feedback process cannot begin until your list of reviewers has been reviewed and approved by your supervisor. 
 
To suggest your reviewers, access PEP at http://pep.enron.com and select 'Suggest Reviewers' from the Main Menu.   
 
If you have any questions regarding the PRC process or the PEP system, please contact the PEP Help Desk at:
Houston:  1.713.853.4777, Option 4 or email: perfmgmt@enron.com
London:  44.207.783.4040, Option 4 or email: pep.enquiries@enron.com","[{'word': 'DON BAUGHMAN JR', 'tag': 'PERSON'}, {'word': 'Friday, May 25, 2001', 'tag': 'DATE'}, {'word': 'Enron', 'tag': 'ORG'}]","[('DON BAUGHMAN JR', 'PERSON'), ('Friday, May 25, 2001', 'DATE'), ('Enron', 'ORG')]"
<23472789.1075840217587.JavaMail.evans@thyme>,"Ken - I thought I would give you a quick update on our conversations 
regarding Atlantic Copper.  Our team met with the senior management from 
Atlantic Copper last week in concert with the London Metal Exchange Week.

There are several hurdles to overcome in structuring a deal to acquire 
Atlantic Copper and a long term copper concentrates supply from FM's 
Indonesian mine complex.   Current contract prices for copper smelting and 
refining capacity are low and they might be a bit unrealistic on price.    We 
suggested a conceptual structure that may work but is 
probably a long shot at this time.   They were interested and requested a 
more definitive proposal, which we will develop this week.

We will keep you posted.

John","[{'word': 'Ken', 'tag': 'PERSON'}, {'word': 'Atlantic Copper', 'tag': 'PERSON'}, {'word': 'FM', 'tag': 'PERSON'}, {'word': 'John', 'tag': 'PERSON'}, {'word': 'last week', 'tag': 'DATE'}, {'word': 'this week', 'tag': 'DATE'}, {'word': 'London', 'tag': 'LOCATION'}, {'word': 'London Metal Exchange', 'tag': 'ORG'}]","[('Ken', 'PERSON'), ('Atlantic Copper', 'PERSON'), ('FM', 'PERSON'), ('John', 'PERSON'), ('last week', 'DATE'), ('this week', 'DATE'), ('London', 'LOCATION'), ('London Metal Exchange', 'ORG')]"
<25203218.1075842194688.JavaMail.evans@thyme>,"Phyllis:
Here is where I understand we are with the LOC provisions and the LC for.  


1. No changes will be made to the LOC provisions.

2. In the form of LOC, i will delete the language in drawing condition 1 ""the 
entire undrawn amount of the LOC"" and put in ""$.""  I will alos 
delete the automatic renewal language in the third paragraph such that it 
will read ""This LOC shall expire  days from the date of issuance.""

Are we ready to finalize?  If so, I will e-mail to you final forms of the 
docs.


Carol St. Clair
EB 3889
713-853-3989 (Phone)
713-646-3393 (Fax)
carol.st.clair@enron.com","[{'word': 'Phyllis', 'tag': 'PERSON'}, {'word': 'Carol St. Clair', 'tag': 'PERSON'}]","[('Phyllis', 'PERSON'), ('Carol St. Clair', 'PERSON')]"
