message_id,subject,content,n_words,clean_content,n_words_clean
<23119266.1075844369192.JavaMail.evans@thyme>,Re: ISO NY Zone A West,"Dale:

Looks okay -- I just made a few changes -- I updated the reference the NYISO 
as the site publisher and also updated the location reference.  

ISO NY Zone A (West) Peak

The Floating Price during a Determination Period shall be the average of the 
hourly day-ahead prices listed in the Index (in final, not estimate, form) 
for electricity delivered during Peak hours on each Delivery Day during the 
applicable Determination Period.  The Floating Price for each Determination 
Period shall be calculated utilizing the hourly clearing prices published by 
the New York Independent System Operator on its official web site currently 
located at http://www.nyiso.com/oasis/index.html, or any successor thereto, 
under the headings ""Day Ahead Market LBMP - Zonal; Zonal Prices; West 
(61752)""  (the ""Index"").


Leslie",125,"Dale:

Looks okay  I just made a few changes  I updated the reference the NYISO 
as the site publisher and also updated the location reference.  

ISO NY Zone A (West) Peak

The Floating Price during a Determination Period shall be the average of the 
hourly day-ahead prices listed in the Index (in final, not estimate, form) 
for electricity delivered during Peak hours on each Delivery Day during the 
applicable Determination Period.  The Floating Price for each Determination 
Period shall be calculated utilizing the hourly clearing prices published by 
the New York Independent System Operator on its official web site currently 
located at http://www.nyiso.com/oasis/index.html, or any successor thereto, 
under the headings ""Day Ahead Market LBMP - Zonal; Zonal Prices; West 
(61752)""  (the ""Index"").


Leslie",123
<32592935.1075840757928.JavaMail.evans@thyme>,All Types of Home Loans... Incredible Savings!              B,"Our Loan Packages Have Never Been More Attractive!	


Now is the time to refinance your home or get a second mortgage to consolidate 
all of your high interest credit card debt. Get all the Smart Cash you'll need!
Cash out your equity while rates are low! (UP TO 125%)
All USA Homeowners Easily Qualify!
Damaged Credit Is never a problem!
 We work with nation-wide lenders that are offering great deals 
 and will provide you with the best service on the INTERNET!
Our service is 100% free!CLICK HERE For more details and to receive a no obligation quotation today! 
We strongly oppose the use of SPAM email and do not want anyone who does not wish to receive 
our  mailings to receive them. Please click here to be deleted from further communicationClick Here to unsubscribe from future promotions.",137,"Our Loan Packages Have Never Been More Attractive!	


Now is the time to refinance your home or get a second mortgage to consolidate 
all of your high interest credit card debt. Get all the Smart Cash you'll need!
Cash out your equity while rates are low! (UP TO 125%)
All USA Homeowners Easily Qualify!
Damaged Credit Is never a problem!
 We work with nation-wide lenders that are offering great deals 
 and will provide you with the best service on the INTERNET!
Our service is 100% free!CLICK HERE For more details and to receive a no obligation quotation today! 
We strongly oppose the use of SPAM email and do not want anyone who does not wish to receive 
our  mailings to receive them. Please click here to be deleted from further communicationClick Here to unsubscribe from future promotions.",137
<31344186.1075853679126.JavaMail.evans@thyme>,,"Hi Chris, 

I just called you a while ago and they said you'd call me back.? I may not be 
at my phone when you call because I'm at my other desk for the rest of the 
afternoon.

I called to thank you for the goody package I received this afternoon.? 
Hector likes his golf shirt and my pen and pencil are very nice.? I've 
already tested them both.

I'm going to be visiting the New York customers this week and I'll probably 
take my new pen and pencil with me, if I can figure out a way to cover up the 
Enron part.

Hope you are well.? Let's talk soon so we can act like tomatoes and catchup.? 
:) 

Take care.?? ii",123,"Hi Chris, 

I just called you a while ago and they said you'd call me back.? I may not be 
at my phone when you call because I'm at my other desk for the rest of the 
afternoon.

I called to thank you for the goody package I received this afternoon.? 
Hector likes his golf shirt and my pen and pencil are very nice.? I've 
already tested them both.

I'm going to be visiting the New York customers this week and I'll probably 
take my new pen and pencil with me, if I can figure out a way to cover up the 
Enron part.

Hope you are well.? Let's talk soon so we can act like tomatoes and catchup.? 
:) 

Take care.?? ii",123
<17603763.1075862292350.JavaMail.evans@thyme>,"ROD               , It's easy to subscribe!","<http://www.emaildelivery.net/getimage.asp?id=542>

Dear ROD ,

You have received this email because you are a valued customer of Platts - the energy information division of The McGraw Hill Companies.

It's easy to subscribe to GLOBAL ENERGY BUSINESS. Click here to answer a few short questions and be on your way to your FREE subscription to GLOBAL ENERGY BUSINESS!

<http://www.emaildelivery.net/survey/psurdb.asp?ID=196&userID=FF8900D7>

GLOBAL ENERGY BUSINESS is the magazine of choice for energy executives and senior managers worldwide. In each issue, you will receive comprehensive analysis and perspective on a host of subjects essential to your firm's operation, including:  

Energy Trading 
Risk Management 
Information Technologies 
Power Generation 
Energy Delivery * Finance 
Retail Energy Business 
Legal/Regulatory 
Management Strategies 
Corporate/Executive Profiles 

Click on the link below to subscribe to GLOBAL ENERGY BUSINESS. 


<http://www.emaildelivery.net/survey/psurdb.asp?ID=196&userID=FF8900D7>
If you feel you have received this message in error or would like to be removed from this list, please click on the link below. <http://www.dontemailme.com/Optout.asp?job=E6192&ID=FF8900D7>

  <http://www.emaildelivery.net/open.asp?JB=E6192&id=FF8900D7>",152,"Dear ROD ,

You have received this email because you are a valued customer of Platts - the energy information division of The McGraw Hill Companies.

It's easy to subscribe to GLOBAL ENERGY BUSINESS. Click here to answer a few short questions and be on your way to your FREE subscription to GLOBAL ENERGY BUSINESS!



GLOBAL ENERGY BUSINESS is the magazine of choice for energy executives and senior managers worldwide. In each issue, you will receive comprehensive analysis and perspective on a host of subjects essential to your firm's operation, including:  

Energy Trading 
Risk Management 
Information Technologies 
Power Generation 
Energy Delivery * Finance 
Retail Energy Business 
Legal/Regulatory 
Management Strategies 
Corporate/Executive Profiles 

Click on the link below to subscribe to GLOBAL ENERGY BUSINESS. 



If you feel you have received this message in error or would like to be removed from this list, please click on the link below.",147
<11709436.1075840470552.JavaMail.evans@thyme>,TRANSSTATUS 30939 CONFIRMED,"Reservation status has changed to CONFIRMED. See attachment.

ASSIGNMENT_REF = 30939
SELLER_CODE = AZPS
SELLER_DUNS = 958982563
CUSTOMER_CODE = EPMI  
CUSTOMER_DUNS = 848921276
AFFILIATE_FLAG = 0
PATH_NAME = W/AZPS/AZPS-AZPS/FOURCORNE345 - PNPKAPS230//
POINT_OF_RECEIPT = FOURCORNE345
POINT_OF_DELIVERY = PNPKAPS230
SOURCE = FOURCORNERS3
SINK = PNPK
CAPACITY = 25
CAPACITY_REQUESTED = 25
SERVICE_INCREMENT = HOURLY
TS_CLASS = FIRM
TS_TYPE = POINT_TO_POINT
TS_PERIOD = OFF_PEAK
TS_WINDOW = FIXED
TS_SUBCLASS = WHEEL
NERC_CURTAILMENT_PRIORITY = Nerc Priority 1
OTHER_CURTAILMENT_PRIORITY = Default
START_TIME = 06/24/2002
STOP_TIME = 06/24/2002
CEILING_PRICE = 3.13
OFFER_PRICE = 3.13
BID_PRICE = 3.13
PRICE_UNITS = $/mW  
PRECONFIRMED = YES
ANC_SVC_LINK = N/A
ANC_SVC_REQ = N/A
POSTING_REF = 0
SALE_REF = 
REQUEST_REF = 
DEAL_REF = 
NEGOTIATED_PRICE_FLAG = 
STATUS = CONFIRMED
STATUS_NOTIFICATION = lisa.gang@enron.com
STATUS_COMMENTS = 
TIME_QUEUED = 06/21/2002
RESPONSE_TIME_LIMIT = 
TIME_OF_LAST_UPDATE = 06/21/2002
PRIMARY_PROVIDER_COMMENTS = 
SELLER_COMMENTS = 
CUSTOMER_COMMENTS = FOR INFO CALL (503)464-5070
SELLER_NAME = AZPS
SELLER_PHONE = 602.250.1128
SELLER_FAX = 602.250.1155
SELLER_EMAIL = oasisadm@apsc.com
CUSTOMER_NAME = Enron Power Marketing, Inc.
CUSTOMER_PHONE = (713)853-3801
CUSTOMER_FAX = (713)646-8272
CUSTOMER_EMAIL = bill.rust@enron.com
REASSIGNED_REF = 0
REASSIGNED_CAPACITY = 0
REASSIGNED_START_TIME = 
REASSIGNED_STOP_TIME =",176,"Reservation status has changed to CONFIRMED. See attachment.

ASSIGNMENTREF 30939
SELLERCODE AZPS
SELLERDUNS 958982563
CUSTOMERCODE EPMI  
CUSTOMERDUNS 848921276
AFFILIATEFLAG 0
PATHNAME W/AZPS/AZPS-AZPS/FOURCORNE345 - PNPKAPS230//
POINTOFRECEIPT FOURCORNE345
POINTOFDELIVERY PNPKAPS230
SOURCE FOURCORNERS3
SINK PNPK
CAPACITY 25
CAPACITYREQUESTED 25
SERVICEINCREMENT HOURLY
TSCLASS FIRM
TSTYPE POINTTOPOINT
TSPERIOD OFFPEAK
TSWINDOW FIXED
TSSUBCLASS WHEEL
NERCCURTAILMENTPRIORITY Nerc Priority 1
OTHERCURTAILMENTPRIORITY Default
STARTTIME 06/24/2002
STOPTIME 06/24/2002
CEILINGPRICE 3.13
OFFERPRICE 3.13
BIDPRICE 3.13
PRICEUNITS $/mW  
PRECONFIRMED YES
ANCSVCLINK N/A
ANCSVCREQ N/A
POSTINGREF 0
SALEREF REQUESTREF DEALREF NEGOTIATEDPRICEFLAG STATUS CONFIRMED
STATUSNOTIFICATION lisa.gang@enron.com
STATUSCOMMENTS TIMEQUEUED 06/21/2002
RESPONSETIMELIMIT TIMEOFLASTUPDATE 06/21/2002
PRIMARYPROVIDERCOMMENTS SELLERCOMMENTS CUSTOMERCOMMENTS FOR INFO CALL (503)464-5070
SELLERNAME AZPS
SELLERPHONE 602.250.1128
SELLERFAX 602.250.1155
SELLEREMAIL oasisadm@apsc.com
CUSTOMERNAME Enron Power Marketing, Inc.
CUSTOMERPHONE (713)853-3801
CUSTOMERFAX (713)646-8272
CUSTOMEREMAIL bill.rust@enron.com
REASSIGNEDREF 0
REASSIGNEDCAPACITY 0
REASSIGNEDSTARTTIME REASSIGNEDSTOPTIME",120
<1581542.1075842436127.JavaMail.evans@thyme>,Lexis Presents Cyberlaw & Telecommunications,"What are some legal issues we should be aware of as e Business/eTrade chang=
e=20
our way to do business?   Do you know Lexis Search Advisor?  Please join Ed=
=20
Chang, Lexis attorney for a Cyberlaw & Telecommunications presentation in=
=20
Conference Room EB 47C2 on Tuesday, 6/20 from 12:00 noon to 1:30 PM.   Lexi=
s=20
provides lunch.  R.S.V.P. to Sylvia Hu x36775 by noon, Monday (6/19).=20

Thanks,
Sylvia Hu
Corporate and Law Information Services
x36775



   Come discover LEXIS-NEXIS and it=01,s vast
 collection of information on=20
CYBERLAW and TELECOMMUNICATIONS

Learn how to monitor the latest cases and legislation in these emerging are=
as=20
of law.

Find out what new cyberlaw journals=20
LEXIS-NEXIS has recently acquired.

See how easy it is to locate FCC Cases,=20
FCC Licenses, PUC Decisions and Reports,=20
and Telecommunications News.

Watch as LEXIS-NEXIS SEARCH ADVISOR practically does all of your research f=
or=20
you.",147,"What are some legal issues we should be aware of as e Business/eTrade change
our way to do business?   Do you know Lexis Search Advisor?  Please join EdChang, Lexis attorney for a Cyberlaw & Telecommunications presentation inConference Room EB 47C2 on Tuesday, 6/20 from 12:00 noon to 1:30 PM.   Lexis
provides lunch.  R.S.V.P. to Sylvia Hu x36775 by noon, Monday (6/19).

Thanks,
Sylvia Hu
Corporate and Law Information Services
x36775



   Come discover LEXIS-NEXIS and it,s vast
 collection of information on
CYBERLAW and TELECOMMUNICATIONS

Learn how to monitor the latest cases and legislation in these emerging areas
of law.

Find out what new cyberlaw journals
LEXIS-NEXIS has recently acquired.

See how easy it is to locate FCC Cases,
FCC Licenses, PUC Decisions and Reports,
and Telecommunications News.

Watch as LEXIS-NEXIS SEARCH ADVISOR practically does all of your research for
you.",139
<31609129.1075842014780.JavaMail.evans@thyme>,pending missions  SAT  THUR,"BROADCAST MESSAGE TO ALL PILOTS:

PLEASE REMEMBER TO CONTACT YOUR PATIENT AS SOON AS YOU RECEIVE THE PAPERWORK, AND AT LEAST 24 HOURS BEFORE THE FLIGHT TO CONFIRM TIME AND PLACE. WE HAVE HAD PATIENTS CALLING IN BECAUSE THEY HAVEN'T HEARD FROM THEIR PILOT YET. ALSO, SOME ARE WORRIED WHEN THEY DON'T HEAR FROM THEIR PILOT AS THE MISSION DATE GETS CLOSE AND THEY ARE FINDING OTHER WAYS TO GET THERE AND ARE CANCELING.

I currently have 13 pending missions. If you can fly please call or email the office as soon as possible. 


1 for SAT		1.  New Orleans to Huntsville, AL (leg 1 of 3 leg mission)

1 for THURS		1.  Houston to Jackson, MS  (LEG 2 of 3 leg mission)


PLEASE CHECK THE WEBSITE FOR OTHERS


thank you
Beth
972 458 0700
afsc@angelflightsc.org
http://www.angelflightsc.org/afpage2a.htm",137,"BROADCAST MESSAGE TO ALL PILOTS:

PLEASE REMEMBER TO CONTACT YOUR PATIENT AS SOON AS YOU RECEIVE THE PAPERWORK, AND AT LEAST 24 HOURS BEFORE THE FLIGHT TO CONFIRM TIME AND PLACE. WE HAVE HAD PATIENTS CALLING IN BECAUSE THEY HAVEN'T HEARD FROM THEIR PILOT YET. ALSO, SOME ARE WORRIED WHEN THEY DON'T HEAR FROM THEIR PILOT AS THE MISSION DATE GETS CLOSE AND THEY ARE FINDING OTHER WAYS TO GET THERE AND ARE CANCELING.

I currently have 13 pending missions. If you can fly please call or email the office as soon as possible. 


1 for SAT		1.  New Orleans to Huntsville, AL (leg 1 of 3 leg mission)

1 for THURS		1.  Houston to Jackson, MS  (LEG 2 of 3 leg mission)


PLEASE CHECK THE WEBSITE FOR OTHERS


thank you
Beth
972 458 0700
afsc@angelflightsc.org
http://www.angelflightsc.org/afpage2a.htm",137
<1144875.1075854494428.JavaMail.evans@thyme>,Potential Candidates for Reliable Reserves,"Jere, I spoke with Scott on these targets and his belief is that both 
himself, Allen and John have significant relationships with these folks which 
should help leverage your product into this sector. Scott and John have 
agreed to set up these meetings with the decision makers in these targets 
with no delay.  From there, you, John and Scott can determine what deal team 
will go speak to them about the opportunities.  I would expect that we will 
be in front of these folks ASAP.  Lets see how the product is embraced by 
these customers before we extend the target list and create a more formal 
alignment of the groups.  As per your earlier e-mail, I assume you are 
working on the Reeding & Bates opportunity.

Regards
Delainey

---------------------- Forwarded by David W Delainey/HOU/ECT on 05/17/2000 
06:47 PM ---------------------------


Jere C Overdyke
05/17/2000 04:38 PM
To: David W Delainey/HOU/ECT@ECT
cc:  
Subject: Potential Candidates for Reliable Reserves

Attached is a preliminary list of customers that we would like to contact.  
This list will change as we receive more information from the market.  We are 
available to meet with John and Scott.  This needs to be an ENA team effort.

Jere
---------------------- Forwarded by Jere C Overdyke/HOU/ECT on 05/17/2000 
04:36 PM ---------------------------


Doug Jones@ENRON
05/17/2000 04:34 PM
To: Jere C Overdyke/HOU/ECT@ECT
cc: George Carrick/HOU/ECT@ECT 
Subject: Potential Candidates for Reliable Reserves

Jere,

The following is a preliminary list of potential candidates for the Reliable 
Reserves product:

Prize Energy
Swift Energy
St. Mary Land
Pioneer Natural Resources
Nuevo Energy
Vintage Petroleum
Santa Fe Synder
Tom Brown",262,"Jere, I spoke with Scott on these targets and his belief is that both 
himself, Allen and John have significant relationships with these folks which 
should help leverage your product into this sector. Scott and John have 
agreed to set up these meetings with the decision makers in these targets 
with no delay.  From there, you, John and Scott can determine what deal team 
will go speak to them about the opportunities.  I would expect that we will 
be in front of these folks ASAP.  Lets see how the product is embraced by 
these customers before we extend the target list and create a more formal 
alignment of the groups.  As per your earlier e-mail, I assume you are 
working on the Reeding & Bates opportunity.

Regards
Delainey",128
<12085499.1075862333148.JavaMail.evans@thyme>,,"Hey Steve- Since the 6th looks like it is a good day to get together, maybe I could come over to your house around 12:00.   We could go to lunch, and since I had the the last priviledge of  picking out a ""very interesting movie"", I would like you to to pick out the next one! This time I also have a lot more time flexibility in the afternoon.
     Of course, I will drop you a quick line prior to the 6th to make sure your schedule is still on target.  Otherwise, enjoy Thanksgiving with your family (don't get too fat!).  Talk with you later.  Christine
 

Get your FREE download of MSN Explorer at http://explorer.msn.com",115,"Hey Steve- Since the 6th looks like it is a good day to get together, maybe I could come over to your house around 12:00.   We could go to lunch, and since I had the the last priviledge of  picking out a ""very interesting movie"", I would like you to to pick out the next one! This time I also have a lot more time flexibility in the afternoon.
     Of course, I will drop you a quick line prior to the 6th to make sure your schedule is still on target.  Otherwise, enjoy Thanksgiving with your family (don't get too fat!).  Talk with you later.  Christine
 

Get your FREE download of MSN Explorer at http://explorer.msn.com",115
<27399391.1075847342406.JavaMail.evans@thyme>,Profile Manager Work Queue,"I was reviewing the work queue in profile manager and found the following 
items pending.  Great job - our pending list is very short!  Thank you for 
your efforts.

Profiles in the Work Queue pending Credit:

Georgia Gulf Corporation
IGI Resources, Inc.
Itochu International Inc.
Louis Dreyfus Plastics Corp.
Phillips Petroleum Company
Sacramento Municipal Utility District
The New Power Company
Torch Energy TM, Inc.



Profiles in Work Queue pending Legal:

CMS Marketing, Services and Trading Company
Cargill Ferrous International
Helmerich & payne Energy Services, Inc.
Helsingin Energia
Sacramento Municipal Utility District
TotalFinaElf Gas & Power North America


Please let me know if you have any questions.

Thanks,
Stephanie x33465",109,"I was reviewing the work queue in profile manager and found the following 
items pending.  Great job - our pending list is very short!  Thank you for 
your efforts.

Profiles in the Work Queue pending Credit:

Georgia Gulf Corporation
IGI Resources, Inc.
Itochu International Inc.
Louis Dreyfus Plastics Corp.
Phillips Petroleum Company
Sacramento Municipal Utility District
The New Power Company
Torch Energy TM, Inc.



Profiles in Work Queue pending Legal:

CMS Marketing, Services and Trading Company
Cargill Ferrous International
Helmerich & payne Energy Services, Inc.
Helsingin Energia
Sacramento Municipal Utility District
TotalFinaElf Gas & Power North America


Please let me know if you have any questions.

Thanks,
Stephanie x33465",109
